date,year,month,product,region,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2025-01-01,2025,1,Undefined,Undefined,Undefined,0.7,0.8146,1.0605,1.0317,0.2379,0.1555,0,1504.0,929.9,1398269.36,258405.27,1139864.09,461428.89,489394.28,189040.93,95000.0,94040.93,42000.0,10928.59,41112.33
2025-02-01,2025,2,Undefined,Undefined,Undefined,0.85,0.8423,1.0518,1.033,0.1262,0.187,0,1809.0,962.89,1741886.21,321541.66,1420344.55,574822.45,609660.17,235861.93,95000.0,140861.93,42000.0,20761.01,78100.93
2025-03-01,2025,3,Undefined,Undefined,Undefined,1.05,0.63,1.054,1.0343,0.1374,0.2048,0,1981.0,959.97,1902110.65,351469.56,1550641.09,627696.51,665738.73,257205.85,95000.0,162205.85,42000.0,25243.23,94962.62
2025-04-01,2025,4,Undefined,Undefined,Undefined,1.1,0.6687,1.0324,1.0356,0.1487,0.2205,0,2133.0,954.79,2036588.52,374924.3,1661664.22,672074.21,712805.98,276784.03,95000.0,181784.03,42000.0,29354.65,110429.38
2025-05-01,2025,5,Undefined,Undefined,Undefined,1.05,0.7466,1.0219,1.0369,0.0893,0.2176,0,2105.0,971.83,2045697.49,376033.99,1669663.51,675080.17,715994.12,278589.21,95000.0,183589.21,42000.0,29733.73,111855.48
2025-06-01,2025,6,Undefined,Undefined,Undefined,1.0,0.8213,1.0183,1.0382,0.1293,0.218,0,2109.0,959.72,2023949.39,371981.5,1651967.89,667903.3,708382.29,275682.31,95000.0,180682.31,42000.0,29123.28,109559.02
2025-07-01,2025,7,Undefined,Undefined,Undefined,0.8,0.713,1.0341,1.0395,0.1997,0.1664,0,1610.0,940.38,1513570.28,279216.05,1234354.23,499478.19,529749.6,205126.44,95000.0,110126.44,42000.0,14306.55,53819.89
2025-08-01,2025,8,Undefined,Undefined,Undefined,0.75,0.737,1.0547,1.0408,0.2273,0.1589,0,1537.0,934.23,1436005.34,266141.79,1169863.55,473881.76,502601.87,193379.92,95000.0,98379.92,42000.0,11839.78,44540.13
2025-09-01,2025,9,Undefined,Undefined,Undefined,1.0,0.7049,1.0306,1.0421,0.5322,0.2239,0,2166.0,840.72,1820774.04,336040.04,1484734.0,600855.43,637270.91,246607.65,95000.0,151607.65,42000.0,23017.61,86590.04
2025-10-01,2025,10,Undefined,Undefined,Undefined,1.15,0.6978,1.0164,1.0434,0.0614,0.2302,0,2226.0,980.89,2183897.91,402148.19,1781749.72,720686.31,764364.27,296699.14,95000.0,201699.14,42000.0,33536.82,126162.32
2025-11-01,2025,11,Undefined,Undefined,Undefined,1.25,0.8794,1.0277,1.0447,0.0198,0.2743,0,2653.0,994.75,2638866.21,487301.79,2151564.42,870825.85,923603.17,357135.39,95000.0,262135.39,42000.0,46228.43,173906.96
2025-12-01,2025,12,Undefined,Undefined,Undefined,1.3,0.8288,0.9927,1.046,0.2905,0.2953,0,2856.0,910.53,2600574.67,478423.77,2122150.89,858189.64,910201.13,353760.12,95000.0,258760.12,42000.0,45519.63,171240.49
