date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2024-06-01,2024,6,Base,2236.0,2048648.2,374398.34,1674249.86,676053.91,717026.87,281169.08,95000.0,186169.08,42000.0,30275.51,113893.58,81.72,13.72,5.56
2024-07-01,2024,7,Base,1588.0,1520697.85,277878.13,1242819.72,501830.29,532244.25,208745.19,95000.0,113745.19,42000.0,15066.49,56678.7,81.73,13.73,3.73
2024-08-01,2024,8,Base,1525.0,1344500.07,246408.43,1098091.64,443685.02,470575.03,183831.59,95000.0,88831.59,42000.0,9834.63,36996.96,81.67,13.67,2.75
2024-09-01,2024,9,Base,1801.0,1730926.24,317325.44,1413600.8,571205.66,605824.18,236570.95,95000.0,141570.95,42000.0,20909.9,78661.05,81.67,13.67,4.54
2024-10-01,2024,10,Base,2291.0,2060709.14,378888.02,1681821.11,680034.01,721248.2,280538.9,95000.0,185538.9,42000.0,30143.17,113395.73,81.61,13.61,5.5
2024-11-01,2024,11,Base,2300.0,2241890.41,414575.1,1827315.31,739823.84,784661.65,302829.83,95000.0,207829.83,42000.0,34824.26,131005.57,81.51,13.51,5.84
2024-12-01,2024,12,Base,2623.0,2495698.39,460625.79,2035072.6,823580.47,873494.44,337997.69,95000.0,242997.69,42000.0,42209.52,158788.18,81.54,13.54,6.36
2025-01-01,2025,1,Base,1504.0,1398269.36,258405.27,1139864.09,461428.89,489394.28,189040.93,95000.0,94040.93,42000.0,10928.59,41112.33,81.52,13.52,2.94
2025-02-01,2025,2,Base,1809.0,1741886.21,321541.66,1420344.55,574822.45,609660.17,235861.93,95000.0,140861.93,42000.0,20761.01,78100.93,81.54,13.54,4.48
2025-03-01,2025,3,Base,1981.0,1902110.65,351469.56,1550641.09,627696.51,665738.73,257205.85,95000.0,162205.85,42000.0,25243.23,94962.62,81.52,13.52,4.99
2025-04-01,2025,4,Base,2133.0,2036588.52,374924.3,1661664.22,672074.21,712805.98,276784.03,95000.0,181784.03,42000.0,29354.65,110429.38,81.59,13.59,5.42
2025-05-01,2025,5,Base,2105.0,2045697.49,376033.99,1669663.51,675080.17,715994.12,278589.21,95000.0,183589.21,42000.0,29733.73,111855.48,81.62,13.62,5.47
2025-06-01,2025,6,Base,2109.0,2023949.39,371981.5,1651967.89,667903.3,708382.29,275682.31,95000.0,180682.31,42000.0,29123.28,109559.02,81.62,13.62,5.41
2025-07-01,2025,7,Base,1610.0,1513570.28,279216.05,1234354.23,499478.19,529749.6,205126.44,95000.0,110126.44,42000.0,14306.55,53819.89,81.55,13.55,3.56
2025-08-01,2025,8,Base,1537.0,1436005.34,266141.79,1169863.55,473881.76,502601.87,193379.92,95000.0,98379.92,42000.0,11839.78,44540.13,81.47,13.47,3.1
2025-09-01,2025,9,Base,2166.0,1820774.04,336040.04,1484734.0,600855.43,637270.91,246607.65,95000.0,151607.65,42000.0,23017.61,86590.04,81.54,13.54,4.76
2025-10-01,2025,10,Base,2226.0,2183897.91,402148.19,1781749.72,720686.31,764364.27,296699.14,95000.0,201699.14,42000.0,33536.82,126162.32,81.59,13.59,5.78
2025-11-01,2025,11,Base,2653.0,2638866.21,487301.79,2151564.42,870825.85,923603.17,357135.39,95000.0,262135.39,42000.0,46228.43,173906.96,81.53,13.53,6.59
2025-12-01,2025,12,Base,2856.0,2600574.67,478423.77,2122150.89,858189.64,910201.13,353760.12,95000.0,258760.12,42000.0,45519.63,171240.49,81.6,13.6,6.58
